,City,Country,Cloudiness (%),Humidity (%),Max Temp (F°),Wind Speed (mph),Lat,Long,Date Checked
0,Saint George,GR,75,82,62.6,4.7,39.45,22.34,1559591026
1,Kirakira,SB,33,79,81.74,6.26,-10.46,161.92,1559591304
2,Flin Flon,CA,90,62,57.2,10.29,54.77,-101.88,1559591305
3,Samarai,PG,100,96,74.0,4.83,-10.62,150.67,1559591307
4,Tutoia,BR,20,59,93.2,6.93,-2.76,-42.27,1559591308
5,Clyde River,CA,20,80,39.2,4.7,70.47,-68.59,1559591309
6,Kapaa,US,1,69,80.6,13.87,22.08,-159.32,1559591405
7,Arraial do Cabo,BR,40,78,75.2,23.04,-22.97,-42.02,1559591312
8,Portland,US,75,45,71.01,11.41,45.52,-122.67,1559591148
9,Tuktoyaktuk,CA,90,80,39.2,12.75,69.44,-133.03,1559591318
10,Hobart,AU,40,80,43.0,10.29,-42.88,147.33,1559591469
11,Pevek,RU,99,95,32.78,1.79,69.7,170.27,1559591321
12,Madisonville,US,1,26,79.0,8.25,37.33,-87.5,1559591064
13,Tiksi,RU,0,83,32.42,13.98,71.64,128.87,1559591608
14,Leh,IN,98,66,31.88,3.89,34.16,77.58,1559591325
15,Busselton,AU,0,59,54.0,3.0,-33.64,115.35,1559591326
16,Chor,PK,0,45,91.1,19.3,25.52,69.77,1559591328
17,Punta Arenas,CL,0,81,42.8,9.17,-53.16,-70.91,1559591613
18,Upernavik,GL,100,66,36.74,5.41,72.79,-56.15,1559591614
19,Mar del Plata,AR,100,59,50.42,14.72,-46.43,-67.52,1559591331
20,Rawson,AR,100,39,56.9,13.27,-43.3,-65.11,1559591333
21,Richards Bay,ZA,0,81,70.4,11.54,-28.77,32.06,1559591334
22,Guerrero Negro,MX,3,77,64.64,11.56,27.97,-114.04,1559591336
23,Pundaguitan,PH,100,75,82.64,6.38,6.37,126.17,1559591337
24,Mataura,NZ,89,87,41.0,1.99,-46.19,168.86,1559591622
25,Cape Town,ZA,0,67,64.0,6.93,-33.93,18.42,1559591623
26,Whitehorse,CA,75,62,55.0,9.17,60.72,-135.06,1559591341
27,Derzhavinsk,KZ,99,45,65.18,8.9,51.1,66.31,1559591342
28,Buala,SB,40,81,83.0,11.92,-8.15,159.59,1559591561
29,East London,ZA,69,43,62.12,5.06,-33.02,27.91,1559591633
30,Albany,US,75,36,63.0,18.34,42.65,-73.75,1559591495
31,Hermanus,ZA,57,90,64.0,15.57,-34.42,19.24,1559591636
32,Vaini,IN,95,83,79.58,2.26,15.34,74.49,1559591637
33,Rikitea,PF,4,77,74.0,19.62,-23.12,-134.97,1559591639
34,Davila,PH,25,78,84.98,11.65,18.47,120.58,1559591351
35,Walvis Bay,NA,0,93,51.8,3.36,-22.95,14.51,1559591354
36,Berlevag,NO,0,60,41.0,6.93,70.86,29.09,1559591355
37,Ushuaia,AR,75,70,46.4,13.87,-54.81,-68.31,1559591644
38,Koumac,NC,97,71,74.0,7.38,-20.56,164.28,1559591359
39,Sistranda,NO,75,76,55.4,8.05,63.73,8.83,1559591360
40,Montecristo,CO,58,50,93.8,4.09,8.3,-74.47,1559591361
41,Santa Marta,CO,20,63,91.4,6.93,11.24,-74.21,1559591363
42,Havoysund,NO,0,75,41.0,11.41,71.0,24.66,1559591364
43,Ligayan,PH,100,70,84.62,3.56,4.65,119.47,1559591366
44,Castro,CL,90,100,53.6,24.16,-42.48,-73.76,1559591368
45,Bluff,AU,0,44,46.1,11.97,-23.58,149.07,1559591173
46,Padang,ID,100,76,82.64,4.9,-0.92,100.36,1559591370
47,Hamilton,CA,40,44,64.99,14.99,43.26,-79.87,1559591076
48,Bredasdorp,ZA,60,76,55.4,4.7,-34.53,20.04,1559591658
49,Cartagena,ES,0,73,78.01,6.93,37.63,-1.0,1559591374
50,Salinopolis,BR,42,75,83.18,11.97,-0.61,-47.36,1559591375
51,Chuy,UY,6,74,62.48,12.24,-33.69,-53.46,1559591377
52,Lompoc,US,1,56,73.99,10.49,34.64,-120.46,1559591378
53,Singaraja,ID,100,72,81.92,4.72,-8.11,115.08,1559591379
54,Kasongo-Lunda,CD,31,34,68.42,3.02,-6.48,16.82,1559591381
55,Port Alfred,ZA,44,68,64.99,4.0,-33.59,26.89,1559591417
56,Qaanaaq,GL,100,84,29.72,1.32,77.48,-69.36,1559591383
57,Dikson,RU,1,91,28.28,11.72,73.51,80.55,1559591384
58,Nelson Bay,AU,44,75,48.0,20.8,-32.72,152.14,1559591386
59,Faanui,PF,64,69,81.92,8.95,-16.48,-151.75,1559591387
60,Jamestown,AU,6,90,41.78,3.85,-33.21,138.6,1559591126
61,Saskylakh,RU,39,83,36.02,12.66,71.97,114.09,1559591674
62,Agua Prieta,MX,1,20,87.01,13.87,31.32,-109.55,1559591392
63,Omsukchan,RU,81,70,48.8,3.71,62.53,155.8,1559591393
64,Sao Filipe,CV,0,83,74.36,14.0,14.9,-24.5,1559591395
65,Sola,FI,0,58,57.2,5.82,62.78,29.36,1559591398
66,Northam,GB,20,67,59.0,9.17,51.04,-4.21,1559591401
67,Mahebourg,MU,75,69,73.4,14.99,-20.41,57.7,1559591402
68,Kaitangata,NZ,50,72,39.99,8.01,-46.28,169.85,1559591404
69,Mehamn,NO,0,60,41.0,6.93,71.03,27.85,1559591405
70,Riyadh,SA,0,9,98.6,9.17,24.63,46.72,1559591267
71,Iqaluit,CA,20,86,37.4,4.7,63.75,-68.52,1559591408
72,Butaritari,KI,29,79,84.08,13.82,3.07,172.79,1559591688
73,San Quintin,PH,26,79,79.22,2.15,17.54,120.52,1559591411
74,Verkhoyansk,RU,13,59,48.62,11.23,67.55,133.39,1559591412
75,Yichang,CN,0,58,63.74,5.26,30.77,111.32,1559591413
